datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-06 03:00:00,6.690148925781273,0.0,0.591536,3.0582814,102772.69,0.005538662
2019-01-06 04:00:00,6.912408447265648,0.0,0.2898298,3.082691,102752.01,0.0056092734
2019-01-06 05:00:00,7.111627197265648,0.0,-0.01222235,3.0414064,102748.984,0.0056462553
2019-01-06 06:00:00,7.147058105468773,0.0,-0.18732113,2.8537364,102757.73,0.005696719
2019-01-06 07:00:00,7.235559082031273,0.0,-0.22593534,2.600657,102779.99,0.0057303486
2019-01-06 08:00:00,7.306817626953148,3.3183594,-0.2679283,2.3995352,102806.26,0.0057488615
2019-01-06 09:00:00,7.397241210937523,23.109375,-0.25854522,2.2283912,102814.445,0.0058818986
2019-01-06 10:00:00,7.869409179687523,51.234375,-0.124920845,2.0637035,102806.84,0.0060825553
2019-01-06 11:00:00,8.441979980468773,75.96875,-0.017930448,1.984498,102791.72,0.0062617697
2019-01-06 12:00:00,8.832086181640648,79.25,-0.007203698,2.0186844,102770.54,0.0063790055
2019-01-06 13:00:00,9.036950683593773,59.203125,-0.05557376,2.0510297,102750.57,0.006409211
2019-01-06 14:00:00,9.020166015625023,34.703125,-0.10190421,1.9535645,102761.57,0.0063095405
2019-01-06 15:00:00,8.764062500000023,12.683594,-0.1148568,1.8717096,102760.66,0.006179084
2019-01-06 16:00:00,8.447930908203148,0.30090332,-0.120118424,1.8625494,102762.336,0.0060869916
2019-01-06 17:00:00,8.313287353515648,0.0,-0.19355005,1.8693123,102765.11,0.006063614
2019-01-06 18:00:00,8.265863037109398,0.0,-0.2110317,1.8333495,102777.016,0.0060651912
2019-01-06 19:00:00,8.261621093750023,0.0,-0.057771593,1.735707,102784.89,0.006059286
2019-01-06 20:00:00,8.264428710937523,0.0,0.2555692,1.7025405,102780.984,0.006032784
2019-01-06 21:00:00,8.217004394531273,0.0,0.58689255,1.8535393,102769.484,0.00596592
2019-01-06 22:00:00,7.992303466796898,0.0,0.8343526,2.120583,102766.44,0.005869801
2019-01-06 23:00:00,7.667810058593773,0.0,0.9983044,2.3662865,102763.66,0.005871297
2019-01-07 00:00:00,7.729272460937523,0.0,1.0795269,2.597602,102753.09,0.005907414
2019-01-07 01:00:00,7.860498046875023,0.0,1.0738498,2.8384116,102752.445,0.0059472346
